test,impl,mode,measure,iters,warmup,runs,instr_mean,instr_median,instr_q1,instr_q3,cycles_mean,cycles_median,cycles_q1,cycles_q3,ctxsw_mean,ctxsw_median,ctxsw_q1,ctxsw_q3,instr_iqr,cycles_iqr,ctxsw_iqr
TestB,CIM,t10k,total,1.0,10.0,5,14544855.2,15015048.0,13743100.0,15318528.0,14336160.4,14825000.0,13552658.0,15090760.0,10.4,10.0,10.0,10.0,1575428.0,1538102.0,0.0
TestB,CIM,t10k,total,2.0,10.0,5,8920978.4,8893716.0,8793334.0,9074191.0,8829094.8,8800882.0,8698977.0,8983250.0,5.2,5.0,4.5,6.0,280857.0,284273.0,1.5
TestB,CIM,t10k,total,5.0,10.0,5,5637558.88,5682064.0,5552550.0,5697119.2,5601614.08,5646914.4,5519152.0,5661952.4,2.04,2.0,1.8,2.2,144569.2000000002,142800.40000000037,0.40000000000000013
TestB,CIM,t10k,total,10.0,10.0,5,4416064.159999999,4396626.6,4323618.8,4445591.6,4398056.720000001,4378823.8,4305937.6,4427111.0,1.1199999999999999,1.1,1.1,1.2,121972.79999999981,121173.40000000037,0.09999999999999987
TestB,CIM,t10k,total,20.0,10.0,5,3861947.16,3895565.4,3880310.3,3936949.8,3852955.04,3885950.8,3871480.4,3928067.2,0.51,0.5,0.45,0.5,56639.5,56586.80000000028,0.04999999999999999
TestB,CIM,t10k,total,50.0,10.0,5,3452448.0560000003,3451999.08,3436336.76,3460342.36,3448505.28,3448234.56,3432801.4,3456805.72,0.21200000000000002,0.22,0.2,0.22,24005.600000000093,24004.320000000298,0.01999999999999999
TestB,CIM,t10k,total,100.0,10.0,5,3064570.796,3038875.18,2993886.52,3251522.24,3061947.248,3037205.42,2992093.84,3249711.2,0.11399999999999999,0.11,0.1,0.11,257635.7200000002,257617.36000000034,0.009999999999999995
TestB,CIM,t10k,total,200.0,10.0,6,2843127.4266666663,2978503.605,2444646.1725000003,3193504.4325,2467617.3633333333,2976942.535,2443730.165,3192245.19,0.05800000000000001,0.055,0.055,0.06,748858.2599999998,748515.0249999999,0.0049999999999999975
TestB,CIM,t10k,total,500.0,10.0,5,3043300.7287999997,2946533.684,2930365.952,3187141.548,3042981.7976,2946286.632,2930046.996,3186781.992,0.03,0.03,0.03,0.034,256775.5959999999,256734.99600000028,0.0040000000000000036
TestB,CIM,t10k,total,1000.0,10.0,5,2808175.4420000003,2917796.168,2476892.196,3154593.988,2807874.6548,2917644.212,2476343.708,3154083.686,0.0152,0.015,0.014,0.016,677701.7919999999,677739.9780000001,0.002
TestB,CIM,t10k,total,10000.0,10.0,3,2781780.6690666666,2871894.8312,2545287.8106,3063330.6086,2781784.679066667,2871895.7776,2545291.6735,3063333.2339000003,0.005633333333333333,0.0061,0.005350000000000001,0.00615,518042.79799999995,518041.5604000003,0.0007999999999999995
