test,impl,mode,measure,iters,warmup,repeat,instructions,cycles,context_switches,acc_correct,acc_total,acc_pct
TestC,CIM,t10k,total,1,10,1,12701126,12518826,10,,,
TestC,CIM,t10k,total,1,10,2,13054602,12878198,10,,,
TestC,CIM,t10k,total,1,10,3,13004526,12814502,10,,,
TestC,CIM,t10k,total,1,10,4,12136800,11955070,7,,,
TestC,CIM,t10k,total,1,10,5,13814338,13628746,12,,,
TestC,CIM,t10k,total,2,10,1,16011876,15832782,8,,,
TestC,CIM,t10k,total,2,10,2,15513260,15366386,12,,,
TestC,CIM,t10k,total,2,10,3,15849744,15353184,10,,,
TestC,CIM,t10k,total,2,10,4,16253722,16053148,12,,,
TestC,CIM,t10k,total,2,10,5,15367686,15186814,9,,,
TestC,CIM,t10k,total,3,10,1,18266730,18083406,11,,,
TestC,CIM,t10k,total,3,10,2,19060838,18890042,9,,,
TestC,CIM,t10k,total,3,10,3,19505376,19328382,11,,,
TestC,CIM,t10k,total,3,10,4,19616242,19406608,10,,,
TestC,CIM,t10k,total,3,10,5,21049952,20866974,10,,,
TestC,CIM,t10k,total,4,10,1,21726490,21549080,8,,,
TestC,CIM,t10k,total,4,10,2,24747274,24549186,10,,,
TestC,CIM,t10k,total,4,10,3,26035376,25854938,10,,,
TestC,CIM,t10k,total,4,10,4,24690892,24507146,9,,,
TestC,CIM,t10k,total,4,10,5,25615184,25432322,11,,,
TestC,CIM,t10k,total,5,10,1,27841950,27636674,8,,,
TestC,CIM,t10k,total,5,10,2,27334604,27129572,12,,,
TestC,CIM,t10k,total,5,10,3,28197348,28009182,11,,,
TestC,CIM,t10k,total,5,10,4,27442354,27247926,12,,,
TestC,CIM,t10k,total,5,10,5,27571684,27363530,7,,,
TestC,CIM,t10k,total,10,10,1,36191262,36001882,13,,,
TestC,CIM,t10k,total,10,10,2,37591286,36885486,10,,,
TestC,CIM,t10k,total,10,10,3,44294632,44109738,11,,,
TestC,CIM,t10k,total,10,10,4,36915512,36730400,10,,,
TestC,CIM,t10k,total,10,10,5,45360140,45177516,11,,,
TestC,CIM,t10k,total,15,10,1,62714528,62547480,10,,,
TestC,CIM,t10k,total,15,10,2,63038752,62845582,12,,,
TestC,CIM,t10k,total,15,10,3,62752486,62524046,11,,,
TestC,CIM,t10k,total,15,10,4,62808618,62606918,12,,,
TestC,CIM,t10k,total,15,10,5,61058906,60858230,12,,,
TestC,CIM,t10k,total,20,10,1,61363994,61182610,9,,,
TestC,CIM,t10k,total,20,10,2,79649870,79458100,11,,,
TestC,CIM,t10k,total,20,10,3,75645352,75466152,10,,,
TestC,CIM,t10k,total,20,10,4,78866800,78689624,13,,,
TestC,CIM,t10k,total,20,10,5,59934146,59665604,8,,,
TestC,CIM,t10k,total,25,10,1,76028546,75765698,14,,,
TestC,CIM,t10k,total,25,10,2,95856290,95672172,8,,,
TestC,CIM,t10k,total,25,10,3,95551226,95367166,10,,,
TestC,CIM,t10k,total,25,10,4,95668212,95479932,10,,,
TestC,CIM,t10k,total,25,10,5,91183014,91009820,11,,,
TestC,CIM,t10k,total,30,10,1,111826780,111642412,9,,,
TestC,CIM,t10k,total,30,10,2,87069328,86865104,12,,,
TestC,CIM,t10k,total,30,10,3,108927620,108286484,9,,,
TestC,CIM,t10k,total,30,10,4,110098028,109889622,11,,,
TestC,CIM,t10k,total,30,10,5,88243612,88043336,11,,,
TestC,CIM,t10k,total,35,10,1,130421648,129716866,10,,,
TestC,CIM,t10k,total,35,10,2,128898426,128719926,10,,,
TestC,CIM,t10k,total,35,10,3,98915672,98736882,10,,,
TestC,CIM,t10k,total,35,10,4,129856068,129664416,10,,,
TestC,CIM,t10k,total,35,10,5,125805098,125531790,10,,,
TestC,CIM,t10k,total,40,10,1,140236926,140044424,13,,,
TestC,CIM,t10k,total,40,10,2,140314656,140132810,9,,,
TestC,CIM,t10k,total,40,10,3,142981986,142774438,10,,,
TestC,CIM,t10k,total,40,10,4,145128906,144944354,9,,,
TestC,CIM,t10k,total,40,10,5,111073256,110894720,12,,,
TestC,CIM,t10k,total,45,10,1,121772232,121595956,8,,,
TestC,CIM,t10k,total,45,10,2,161935920,161758088,11,,,
TestC,CIM,t10k,total,45,10,3,202253596,202141700,10,,,
TestC,CIM,t10k,total,45,10,4,166265474,166078034,10,,,
TestC,CIM,t10k,total,45,10,5,159931328,159278744,11,,,
