test,impl,mode,measure,iters,warmup,runs,instr_mean,instr_median,instr_q1,instr_q3,cycles_mean,cycles_median,cycles_q1,cycles_q3,ctxsw_mean,ctxsw_median,ctxsw_q1,ctxsw_q3,instr_iqr,cycles_iqr,ctxsw_iqr
TestC,CIM,t10k,total,1,10,5,12942278.4,13004526.0,12701126.0,13054602.0,12759068.4,12814502.0,12518826.0,12878198.0,9.8,10.0,10.0,10.0,353476.0,359372.0,0.0
TestC,CIM,t10k,total,2,10,5,7899628.8,7924872.0,7756630.0,8005938.0,7779231.4,7683193.0,7676592.0,7916391.0,5.1,5.0,4.5,6.0,249308.0,239799.0,1.5
TestC,CIM,t10k,total,3,10,5,6499942.533333333,6501792.0,6353612.666666667,6538747.333333333,6438360.8,6442794.0,6296680.666666667,6468869.333333333,3.4,3.3333333333333335,3.3333333333333335,3.6666666666666665,185134.66666666605,172188.66666666605,0.33333333333333304
TestC,CIM,t10k,total,4,10,5,6140760.8,6186818.5,6172723.0,6403796.0,6094633.6,6137296.5,6126786.5,6358080.5,2.4,2.5,2.25,2.5,231073.0,231294.0,0.25
TestC,CIM,t10k,total,5,10,5,5535517.6,5514336.8,5488470.8,5568390.0,5495475.36,5472706.0,5449585.2,5527334.8,2.0,2.2,1.6,2.4,79919.20000000019,77749.59999999963,0.7999999999999998
TestC,CIM,t10k,total,10,10,5,4007056.6399999997,3759128.6,3691551.2,4429463.2,3978100.44,3688548.6,3673040.0,4410973.8,1.1,1.1,1.0,1.1,737912.0,737933.7999999998,0.10000000000000009
TestC,CIM,t10k,total,15,10,5,4164977.2,4183499.066666667,4180968.533333333,4187241.2,4151763.413333333,4169832.0,4168269.7333333334,4173794.533333333,0.76,0.8,0.7333333333333333,0.8,6272.666666666977,5524.799999999814,0.06666666666666676
TestC,CIM,t10k,total,20,10,5,3554601.62,3782267.6,3068199.7,3943340.0,3544620.9,3773307.6,3059130.5,3934481.2,0.51,0.5,0.45,0.55,875140.2999999998,875350.7000000002,0.10000000000000003
TestC,CIM,t10k,total,25,10,5,3634298.304,3822049.04,3647320.56,3826728.48,3626358.304,3814686.64,3640392.8,3819197.28,0.42400000000000004,0.4,0.4,0.44,179407.91999999993,178804.47999999998,0.03999999999999998
TestC,CIM,t10k,total,30,10,5,3374435.7866666666,3630920.6666666665,2941453.7333333334,3669934.2666666666,3364846.3866666667,3609549.466666667,2934777.8666666667,3662987.4,0.3466666666666667,0.36666666666666664,0.3,0.36666666666666664,728480.5333333332,728209.5333333332,0.06666666666666665
TestC,CIM,t10k,total,35,10,5,3507982.354285714,3682812.1714285715,3594431.3714285716,3710173.3714285716,3499256.4571428574,3677712.1714285715,3586622.5714285714,3704697.6,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,115742.0,118075.02857142873,0.0
TestC,CIM,t10k,total,40,10,5,3398678.65,3507866.4,3505923.15,3574549.65,3393953.7299999995,3503320.25,3501110.6,3569360.95,0.265,0.25,0.225,0.3,68626.5,68250.3500000001,0.07499999999999998
TestC,CIM,t10k,total,45,10,5,3609593.555555556,3598576.0,3554029.511111111,3694788.311111111,3603788.986666667,3594624.177777778,3539527.644444444,3690622.9777777777,0.22222222222222224,0.2222222222222222,0.2222222222222222,0.24444444444444444,140758.80000000028,151095.3333333335,0.022222222222222227
TestC,CIM,t10k,total,50,10,5,3373949.032,3483007.76,3460614.2,3540475.56,3370274.9520000005,3479020.04,3457090.44,3536518.68,0.2,0.2,0.2,0.2,79861.35999999987,79428.24000000022,0.0
TestC,CIM,t10k,total,55,10,5,3209993.6363636362,3455901.672727273,2694494.4363636365,3540940.4727272727,3206608.749090909,3452512.690909091,2691301.1636363636,3537486.327272727,0.20363636363636362,0.2,0.16363636363636364,0.2,846446.0363636361,846185.1636363636,0.036363636363636376
TestC,CIM,t10k,total,60,10,5,3369006.4666666663,3519316.7666666666,3516001.7666666666,3552467.033333333,3366052.2733333334,3516338.3666666667,3513163.9,3549419.4,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.18333333333333332,36465.266666666605,36255.5,0.016666666666666663
TestC,CIM,t10k,total,65,10,5,3314892.4,3463764.8,3430715.323076923,3477867.7538461536,3311043.6123076924,3460999.7538461536,3428015.7846153844,3469172.3076923075,0.16307692307692306,0.16923076923076924,0.16923076923076924,0.16923076923076924,47152.430769230705,41156.5230769231,0.0
TestC,CIM,t10k,total,70,10,5,3140869.0628571426,3444168.6285714284,2643865.5428571426,3474343.4857142856,3136960.6399999997,3439522.8571428573,2640878.3714285716,3467736.9714285713,0.15428571428571428,0.14285714285714285,0.14285714285714285,0.17142857142857143,830477.942857143,826858.5999999996,0.02857142857142858
TestC,CPU,t10k,total,1,10,5,5152883.6,5058566.0,5028638.0,5229708.0,4957514.4,4861530.0,4842296.0,5037158.0,10.4,10.0,9.0,12.0,201070.0,194862.0,3.0
TestC,CPU,t10k,total,2,10,5,4487145.0,4424615.0,4331458.0,4563299.0,4387062.4,4332380.0,4231116.0,4456675.0,4.9,5.0,5.0,5.0,231841.0,225559.0,0.0
TestC,CPU,t10k,total,3,10,5,4303812.4,4296275.333333333,4254789.333333333,4309134.0,4239370.133333333,4228673.333333333,4191919.3333333335,4243798.0,3.2666666666666666,3.3333333333333335,3.0,3.6666666666666665,54344.66666666698,51878.66666666651,0.6666666666666665
TestC,CPU,t10k,total,4,10,5,4188366.0,4229985.5,4118429.0,4254390.0,4146039.2,4209227.0,4069116.0,4209750.0,2.45,2.5,2.5,2.5,135961.0,140634.0,0.0
TestC,CPU,t10k,total,5,10,5,4099364.96,4117929.6,4050616.4,4130301.2,4061858.96,4079982.0,4011218.0,4094447.6,2.08,2.0,2.0,2.2,79684.80000000028,83229.6000000001,0.20000000000000018
TestC,CPU,t10k,total,10,10,5,4010914.56,3996176.0,3948976.0,4063090.4,3991483.2,3973022.8,3930402.8,4041400.8,0.96,1.0,0.9,1.0,114114.3999999999,110998.0,0.09999999999999998
TestC,CPU,t10k,total,15,10,5,3956899.0666666664,3956170.1333333333,3908628.6666666665,4024251.6,3943786.0,3943649.2,3895507.3333333335,4010809.466666667,0.6799999999999999,0.6666666666666666,0.6,0.8,115622.93333333358,115302.1333333333,0.20000000000000007
TestC,CPU,t10k,total,20,10,5,3878603.28,3895380.7,3850488.4,3895829.6,3866049.0799999996,3869955.2,3842449.5,3886922.8,0.47000000000000003,0.45,0.45,0.5,45341.200000000186,44473.299999999814,0.04999999999999999
TestC,CPU,t10k,total,25,10,5,3878140.288,3878557.2,3867079.04,3889917.76,3870539.3600000003,3871111.2,3859535.92,3882430.88,0.368,0.36,0.36,0.4,22838.71999999974,22894.959999999963,0.040000000000000036
TestC,CPU,t10k,total,30,10,5,3908337.6133333333,3893268.2666666666,3868461.4,3942710.933333333,3901807.253333333,3887357.1333333333,3862224.6666666665,3935733.3333333335,0.33999999999999997,0.3333333333333333,0.3333333333333333,0.3333333333333333,74249.53333333321,73508.66666666698,0.0
TestC,CPU,t10k,total,35,10,5,3861025.9200000004,3844321.714285714,3827744.9714285713,3850824.9142857143,3854654.3657142855,3838318.0,3822384.1142857145,3845609.257142857,0.26857142857142857,0.2571428571428571,0.2571428571428571,0.2857142857142857,23079.942857143003,23225.142857142724,0.02857142857142858
TestC,CPU,t10k,total,40,10,5,3877643.05,3838273.85,3808012.35,3957536.25,3872401.55,3833467.65,3803734.85,3952267.65,0.23000000000000004,0.2,0.2,0.275,149523.8999999999,148532.7999999998,0.07500000000000001
TestC,CPU,t10k,total,45,10,5,3842032.0444444446,3830265.5555555555,3823097.9555555554,3866687.466666667,3837550.7822222225,3825991.1555555556,3817819.3333333335,3862347.2,0.2311111111111111,0.2222222222222222,0.2222222222222222,0.24444444444444444,43589.51111111138,44527.8666666667,0.022222222222222227
TestC,CPU,t10k,total,50,10,5,3887502.008,3877739.64,3855671.08,3881022.44,3882141.3519999995,3867255.88,3852110.32,3876659.88,0.192,0.2,0.18,0.2,25351.35999999987,24549.560000000056,0.020000000000000018
TestC,CPU,t10k,total,55,10,5,3839066.414545455,3826557.7818181817,3823203.8181818184,3853670.909090909,3835570.2763636364,3823264.109090909,3819747.381818182,3850382.9454545453,0.1890909090909091,0.18181818181818182,0.16363636363636364,0.2,30467.090909090824,30635.563636363484,0.036363636363636376
TestC,CPU,t10k,total,60,10,5,3874619.8600000003,3872116.066666667,3860651.2666666666,3877917.2666666666,3871472.9266666668,3868936.8666666667,3857533.2666666666,3875372.066666667,0.16,0.15,0.15,0.16666666666666666,17266.0,17838.80000000028,0.016666666666666663
TestC,CPU,t10k,total,65,10,5,3850857.476923077,3855827.0153846154,3832622.892307692,3867228.0923076924,3847913.033846154,3852886.369230769,3829283.9384615384,3864373.876923077,0.15692307692307694,0.15384615384615385,0.13846153846153847,0.16923076923076924,34605.200000000186,35089.938461538404,0.03076923076923077
TestC,CPU,t10k,total,70,10,5,3845296.9657142856,3836944.4285714286,3836826.4571428574,3869461.314285714,3841758.9142857143,3834327.0857142857,3834033.285714286,3862277.057142857,0.15428571428571428,0.15714285714285714,0.14285714285714285,0.15714285714285714,32634.85714285681,28243.771428571083,0.01428571428571429
