test,impl,mode,measure,iters,warmup,repeat,instructions,cycles,context_switches,acc_correct,acc_total,acc_pct
TestA,CIM,single,steady,10000,10,1,28932165246,28928553750,64,,,
TestA,CIM,single,steady,10000,10,2,22256171388,22256310112,46,,,
TestA,CIM,single,steady,10000,10,3,28571600988,28571731480,54,,,
TestA,CIM,single,steady,10000,10,4,27830190984,27830263040,53,,,
TestA,CIM,single,steady,10000,10,5,32620628004,32620773394,60,,,
TestA,CIM,t10k,steady,10000,10,1,29268307808,29268486706,92,,,
TestA,CIM,t10k,steady,10000,10,2,29835870816,29836120372,55,,,
TestA,CIM,t10k,steady,10000,10,3,33050570750,33051080260,62,,,
TestA,CIM,t10k,steady,10000,10,4,33056148634,33056331900,64,,,
TestA,CIM,t10k,steady,10000,10,5,28927745702,28927868440,61,,,
TestA,CPU,single,steady,10000,10,1,37396954182,37396957140,70,,,
TestA,CPU,single,steady,10000,10,2,38361329268,38361670354,67,,,
TestA,CPU,single,steady,10000,10,3,38182364066,38182809076,70,,,
TestA,CPU,single,steady,10000,10,4,37696734356,37696911288,66,,,
TestA,CPU,single,steady,10000,10,5,37442762866,37442732988,64,,,
TestA,CPU,t10k,steady,10000,10,1,38045593592,38045700608,68,,,
TestA,CPU,t10k,steady,10000,10,2,37922235798,37922359144,70,,,
TestA,CPU,t10k,steady,10000,10,3,37898533572,37898678694,71,,,
TestA,CPU,t10k,steady,10000,10,4,38077096982,38077315614,70,,,
TestA,CPU,t10k,steady,10000,10,5,38173675116,38173862636,69,,,
