test,impl,mode,measure,iters,warmup,repeat,instructions,cycles,context_switches,acc_correct,acc_total,acc_pct
TestA,CIM,single,steady,10000,10,1,,,8,,,
TestA,CIM,single,steady,10000,10,2,29348555824,29348480876,55,,,
TestA,CIM,single,steady,10000,10,3,33012182008,33012289108,62,,,
TestA,CIM,single,steady,10000,10,4,28544097952,28544152220,57,,,
TestA,CIM,single,steady,10000,10,5,28836035696,28836113366,56,,,
TestA,CIM,t10k,steady,10000,10,1,28301683414,28301729822,94,,,
TestA,CIM,t10k,steady,10000,10,2,29257891830,29257933634,59,,,
TestA,CIM,t10k,steady,10000,10,3,29085263462,29085304582,62,,,
TestA,CIM,t10k,steady,10000,10,4,28733885038,28733892160,59,,,
TestA,CIM,t10k,steady,10000,10,5,29702774894,29702957632,60,,,
TestA,CPU,single,steady,10000,10,1,37556475914,37556592994,75,,,
TestA,CPU,single,steady,10000,10,2,37352208954,37352259836,68,,,
TestA,CPU,single,steady,10000,10,3,37307997788,37308076228,66,,,
TestA,CPU,single,steady,10000,10,4,37197137150,37197205510,71,,,
TestA,CPU,single,steady,10000,10,5,37480464068,37480494278,67,,,
TestA,CPU,t10k,steady,10000,10,1,37724267486,37724360334,75,,,
TestA,CPU,t10k,steady,10000,10,2,37952137920,37952201836,72,,,
TestA,CPU,t10k,steady,10000,10,3,37819905346,37819955750,73,,,
TestA,CPU,t10k,steady,10000,10,4,37802657796,37802836628,82,,,
TestA,CPU,t10k,steady,10000,10,5,37691063224,37691158334,73,,,
