test,impl,mode,measure,iters,warmup,repeat,instructions,cycles,context_switches,acc_correct,acc_total,acc_pct
TestB,CIM,t10k,total,1,10,1,13996906,13824302,9,,,
TestB,CIM,t10k,total,1,10,2,13534966,12998610,12,,,
TestB,CIM,t10k,total,1,10,3,13571784,13385718,8,,,
TestB,CIM,t10k,total,1,10,4,13091036,12902072,12,,,
TestB,CIM,t10k,total,1,10,5,13770170,13575914,10,,,
TestB,CIM,t10k,total,2,10,1,16117766,15962388,9,,,
TestB,CIM,t10k,total,2,10,2,14879808,14680816,9,,,
TestB,CIM,t10k,total,2,10,3,16914894,16735760,11,,,
TestB,CIM,t10k,total,2,10,4,15914650,15723984,9,,,
TestB,CIM,t10k,total,2,10,5,16330034,16142282,10,,,
TestB,CIM,t10k,total,5,10,1,25315726,25071774,9,,,
TestB,CIM,t10k,total,5,10,2,25055528,24870250,8,,,
TestB,CIM,t10k,total,5,10,3,25701804,25544608,11,,,
TestB,CIM,t10k,total,5,10,4,24561188,24380738,9,,,
TestB,CIM,t10k,total,5,10,5,24065198,23642062,12,,,
TestB,CIM,t10k,total,10,10,1,39595368,39430802,9,,,
TestB,CIM,t10k,total,10,10,2,39725078,39546442,11,,,
TestB,CIM,t10k,total,10,10,3,40597342,40453882,9,,,
TestB,CIM,t10k,total,10,10,4,32414074,32239884,13,,,
TestB,CIM,t10k,total,10,10,5,33177392,32998256,10,,,
TestB,CIM,t10k,total,20,10,1,75544196,75368020,10,,,
TestB,CIM,t10k,total,20,10,2,76044846,75963748,8,,,
TestB,CIM,t10k,total,20,10,3,75158352,74979054,13,,,
TestB,CIM,t10k,total,20,10,4,59605228,59428434,9,,,
TestB,CIM,t10k,total,20,10,5,77834398,77628964,9,,,
TestB,CIM,t10k,total,50,10,1,132808936,132624250,10,,,
TestB,CIM,t10k,total,50,10,2,130050066,129862562,10,,,
TestB,CIM,t10k,total,50,10,3,172291698,172115950,8,,,
TestB,CIM,t10k,total,50,10,4,168412092,168230060,12,,,
TestB,CIM,t10k,total,50,10,5,177303452,177122544,11,,,
TestB,CIM,t10k,total,100,10,1,332945114,332761420,11,,,
TestB,CIM,t10k,total,100,10,2,331185178,330976028,11,,,
TestB,CIM,t10k,total,100,10,3,256725680,256539562,10,,,
TestB,CIM,t10k,total,100,10,4,333835262,333655570,10,,,
TestB,CIM,t10k,total,100,10,5,325732484,325557674,10,,,
TestB,CIM,t10k,total,200,10,1,694214338,694029492,15,,,
TestB,CIM,t10k,total,200,10,2,597051242,596883348,10,,,
TestB,CIM,t10k,total,200,10,3,449480446,449307002,10,,,
TestB,CIM,t10k,total,200,10,4,587756560,587576782,10,,,
TestB,CIM,t10k,total,200,10,5,449956442,449754692,12,,,
TestB,CIM,t10k,total,500,10,1,1460156108,1459984212,13,,,
TestB,CIM,t10k,total,500,10,2,1453373072,1453167870,16,,,
TestB,CIM,t10k,total,500,10,3,1454803918,1454643550,13,,,
TestB,CIM,t10k,total,500,10,4,1496235252,1496058218,15,,,
TestB,CIM,t10k,total,500,10,5,1113023708,1112497946,13,,,
TestB,CIM,t10k,total,1000,10,1,2932111278,2931961032,16,,,
TestB,CIM,t10k,total,1000,10,2,2221899856,2221753594,17,,,
TestB,CIM,t10k,total,1000,10,3,2918437392,2918297218,15,,,
TestB,CIM,t10k,total,1000,10,4,2946460026,2946315438,19,,,
TestB,CIM,t10k,total,1000,10,5,2925442054,2925211832,16,,,
TestB,CIM,t10k,total,10000,10,1,29248375254,29248200188,61,,,
TestB,CIM,t10k,total,10000,10,2,22080083450,22079921010,48,,,
TestB,CIM,t10k,total,10000,10,3,29315633264,29315525934,61,,,
TestB,CIM,t10k,total,10000,10,4,28492133018,28492205050,57,,,
TestB,CIM,t10k,total,10000,10,5,32592724286,32592922546,66,,,
